game,turns,duration,winner,all_eliminated,solution,eliminated_count
1,100,0.11193490028381348,None,False,Professor Plum Wrench Dining Room,0
2,100,0.10292863845825195,None,False,Colonel Mustard Wrench Lounge,0
3,100,0.08095169067382812,None,False,Mrs. White Knife Lounge,0
4,100,0.09194278717041016,None,False,Mrs. White Knife Hall,0
5,100,0.11493349075317383,None,False,Professor Plum Knife Lounge,0
6,100,0.12193036079406738,None,False,Mrs. White Lead Pipe Hall,0
7,100,0.0899655818939209,None,False,Professor Plum Knife Hall,0
8,100,0.12193083763122559,None,False,Miss Scarlet Wrench Study,0
9,100,0.08595442771911621,None,False,Mrs. White Rope Kitchen,0
10,100,0.12792158126831055,None,False,Reverend Green Knife Dining Room,0
